3607,1289,3347,2143,1567,3413,3691,3911,2593,2657,3217,1697
1031,2953,2939,1231,1283,3989,1453,2609,1879,2557,1619,2531
3643,1579,2129,2971,3041,2423,1831,1327,3517,1171,2347,1913
2543,3943,3121,2617,3761,2843,1151,2113,2539,1583,1019,1451
1229,3203,2551,2273,2767,2243,2293,3533,1597,1367,1129,2879
2707,2659,1667,2801,2861,2477,2069,1787,2029,2179,1381,3613
1409,2503,1297,2647,1559,3697,1091,3323,3319,3359,1439,1181
2837,1753,3313,3527,2851,1361,2887,2677,1907,3079,1013,1117
1889,3709,3433,3701,3797,2099,1471,2621,1097,3083,3863,1103
1811,2797,2437,1429,1621,1307,3371,3719,1861,1069,3631,3593
3727,2089,1249,1747,2777,1063,2039,2131,1699,1009,3803,2927
1399,1637,3373,3169,3011,2473,3253,2203,3847,1193,1949,2731
